"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسْأىَ,,,,,,,,,,,,,,,,,,,,,,,,,سَأىَ  3,,,,,ص ء ع,,,,,239,,,,,38,,,,,س ء و - ي,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِسْتبَأَ,,,,,اِنسْ بَأ,,,,,,,,,,,,,,,أَس بَأ,,,,,,,,,,,,,,,,,,,,,,,,,س بَأ َ 3,,,,,ص ص ء,,,,,262,,,,,1,,,,,س ب ء,,,,
"",,,,,,,,,,,,,,,,,اِسْتسََب,,,,,,,,,,اِسْتبَ,,,,,,,,,,تسَاب,,,,,تسََبب َ,,,,,,,,,,ساب,,,,,سَبب َ,,,,,,,,,,,,,,,سَب  1,,,,,ص (ص ص),,,,,34,,,,,3,,,,,س ب ب,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْبتََ,,,,,,,,,,,,,,,أَسْبتََ,,,,,,,,,,سَبتَ,,,,,,,,,,,,,,,سَبتََ   21,,,,,ص ص ص,,,,,534,,,,,4,,,,,س ب ت,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَ بج َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,26,,,,,6,,,,,س ب ج,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَس بَح َ,,,,,,,,,,س بح َ,,,,,,,,,,,,,,,س بَحَ  3,,,,,ص ص ص,,,,,443,,,,,6,,,,,س ب ح,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَ بخ َ,,,,,أَس بَ  َخ,,,,,,,,,,س بخ َ,,,,,س بِخَ  4,,,,,,,,,,س بَخَ  3,,,,,ص ص ص,,,,,267,,,,,7,,,,,س ب خ,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَس بَد َ,,,,,,,,,,س بد َ,,,,,,,,,,,,,,,س بَدَ   21,,,,,ص ص ص,,,,,167,,,,,8,,,,,س ب د,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس تبَ َ,,,,,اِنسَْ  َبَ,,,,,,,,,,,,,,,أَسْبَ َ,,,,,,,,,,سَب َ,,,,,,,,,,,,,,,سَبَ   12,,,,,ص ص ص,,,,,487,,,,,11,,,,,س ب ر,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَس بَط,,,,,,,,,,س بط,,,,,س بِط  4,,,,,س بُط  5,,,,,,,,,,ص ص ص,,,,,327,,,,,19,,,,,س ب ط,,,,
"",,,,,,,,,,,,,,,,,اِسْتسَ بَع َ,,,,,,,,,,اِسْتبَع َ,,,,,,,,,,,,,,,,,,,,أَس بَع َ,,,,,سابعَ َ,,,,,س بع َ,,,,,,,,,,,,,,,س بَعَ   213,,,,,ص ص ص,,,,,164,,,,,21,,,,,س ب ع,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَس بَغ َ,,,,,,,,,,س بغ َ,,,,,,,,,,,,,,,س بَغَ  1,,,,,ص ص ص,,,,,498,,,,,22,,,,,س ب غ,,,,
"",,,,,,,,,,,,,,,,,اِسْتسَ بَقَ,,,,,,,,,,اِسْتبَقَ,,,,,اِنسْ بَقَ,,,,,تسَابقََ,,,,,تسَ بقَ,,,,,أَس بَقَ,,,,,سابقََ,,,,,س بقَ,,,,,,,,,,,,,,,س بَقَ   21,,,,,ص ص ص,,,,,430,,,,,25,,,,,س ب ق,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسْ بَك َ,,,,,,,,,,تسَ بك َ,,,,,,,,,,,,,,,س ب  َك,,,,,,,,,,,,,,,س بَكَ  2,,,,,ص ص ص,,,,,192,,,,,27,,,,,س ب ك,,,,
"",,,,,,,,,,,,,,,,,اِسْتسَ بَل َ,,,,,,,,,,,,,,,اِنسْ بَل َ,,,,,,,,,,تسَ بل َ,,,,,أَس بَل َ,,,,,,,,,,س ب  َل,,,,,,,,,,,,,,,س بَلَ  1,,,,,ص ص ص,,,,,161,,,,,29,,,,,س ب ل,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسْبَ َ,,,,,,,,,,سَب َ,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,165,,,,,35,,,,,س ب ن,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,س ب  َه,,,,,,,,,,,,,,,س بِهَ  1,,,,,ص ص ص,,,,,391,,,,,36,,,,,س ب ه,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِسْتبََّ,,,,,,,,,,تسَابَّ,,,,,تسَ بّ,,,,,أَس بَّ,,,,,,,,,,,,,,,,,,,,,,,,,س بَّ  2,,,,,ص ص ع,,,,,240,,,,,38,,,,,س ب ي,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس ت  َتَ,,,,,اِنسَْ  َتَ,,,,,,,,,,تسََت َ,,,,,,,,,,ساترَ َ,,,,,سَت َ,,,,,,,,,,,,,,,سَتَ  1,,,,,ص ص ص,,,,,498,,,,,11,,,,,س ت ر,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِسْتتَلَ َ,,,,,اِنسْ تل َ,,,,,تسَات  َلَ,,,,,,,,,,,,,,,ساتلَ َ,,,,,,,,,,س تِلَ  4,,,,,,,,,,س تلَ  1,,,,,ص ص ص,,,,,175,,,,,29,,,,,س ت ل,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسْتَِ َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,166,,,,,35,,,,,س ت ن,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,س تِهَ  4,,,,,,,,,,س تهَ  3,,,,,ص ص ص,,,,,392,,,,,36,,,,,س ت ه,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَس تَ,,,,,ساتَ,,,,,,,,,,,,,,,,,,,,س تا  1,,,,,ص ص و,,,,,245,,,,,38,,,,,س ت و,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,س ت,,,,,,,,,,,,,,,,,,,,ص ص ع,,,,,245,,,,,38,,,,,س ت ي,,,,
"",,,,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََ  َل,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ال نوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَ  1,,,,,ص (ص ص),,,,,28,,,,,6,,,,,س ج ج,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْجَح َ,,,,,,,,,,,,,,,أَسَْح َ,,,,,,,,,,سََح َ,,,,,سََحَ  4,,,,,,,,,,سََحَ  3,,,,,ص ص ص,,,,,454,,,,,6,,,,,س ج ح,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْجَ  َد,,,,,تسَاجَد َ,,,,,,,,,,أَسَْد َ,,,,,,,,,,سََد َ,,,,,سََدَ  4,,,,,,,,,,سََدَ  1,,,,,ص ص ص,,,,,172,,,,,8,,,,,س ج د,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْجَ  َر,,,,,,,,,,تسََج  َر,,,,,أَسَْر َ,,,,,ساجَر َ,,,,,سََر َ,,,,,سََرَ  4,,,,,,,,,,سََرَ  1,,,,,ص ص ص,,,,,503,,,,,11,,,,,س ج ر,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سََسَ,,,,,سََسَ  4,,,,,,,,,,,,,,,ص ص ص,,,,,139,,,,,16,,,,,س ج س,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَاجَ َع,,,,,,,,,,,,,,,ساجَع َ,,,,,سََع َ,,,,,سََعَ  4,,,,,,,,,,سََعَ  3,,,,,ص ص ص,,,,,179,,,,,21,,,,,س ج ع,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس تجَفَ,,,,,,,,,,,,,,,,,,,,أَسَْفَ,,,,,,,,,,سََفَ,,,,,سََفَ  4,,,,,,,,,,سََفَ  1,,,,,ص ص ص,,,,,414,,,,,23,,,,,س ج ف,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْجَل َ,,,,,تسَاجَ  َل,,,,,,,,,,أَسَْل َ,,,,,ساجَل َ,,,,,سََل َ,,,,,,,,,,,,,,,سََلَ  1,,,,,ص ص ص,,,,,175,,,,,29,,,,,س ج ل,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْجَ  َم,,,,,تسَاجَ  َم,,,,,,,,,,أَسَْم َ,,,,,,,,,,سََم َ,,,,,,,,,,,,,,,سََمَ   21,,,,,ص ص ص,,,,,347,,,,,32,,,,,س ج م,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْجَن َ,,,,,,,,,,,,,,,أَسَْن َ,,,,,,,,,,سََن َ,,,,,,,,,,,,,,,سََنَ  1,,,,,ص ص ص,,,,,169,,,,,35,,,,,س ج ن,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََجى,,,,,أَسَْى,,,,,ساجَ,,,,,سََى,,,,,,,,,,,,,,,سََا  1,,,,,ص ص ع,,,,,246,,,,,38,,,,,س ج و,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْحَ  َب,,,,,,,,,,تسََحب َ,,,,,أَسَْب َ,,,,,,,,,,سََب َ,,,,,,,,,,,,,,,سََبَ  3,,,,,ص ص ص,,,,,42,,,,,3,,,,,س ح ب,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسَْتَ,,,,,,,,,,سََتَ,,,,,,,,,,,,,,,سََتَ  3,,,,,ص ص ص,,,,,550,,,,,4,,,,,س ح ت,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْحَج َ,,,,,,,,,,تسََحج َ,,,,,أَسَْج َ,,,,,,,,,,سََج َ,,,,,,,,,,,,,,,سََجَ  3,,,,,ص ص ص,,,,,30,,,,,6,,,,,س ح ج,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْح,,,,,,,,,,تسََحح َ,,,,,,,,,,,,,,,سََح َ,,,,,,,,,,,,,,,سَِ   21,,,,,ص ص ص,,,,,456,,,,,6,,,,,س ح ح,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس تحَ  َر,,,,,اِنسَْحَ  َر,,,,,,,,,,تسََحر َ,,,,,أَسَْر َ,,,,,,,,,,سََر َ,,,,,سََرَ  4,,,,,,,,,,سََرَ  3,,,,,ص ص ص,,,,,510,,,,,11,,,,,س ح ر,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْحَ  َط,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سََط  3,,,,,ص ص ص,,,,,337,,,,,19,,,,,س ح ط,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسَْفَ,,,,,,,,,,,,,,,,,,,,,,,,,سََفَ  3,,,,,ص ص ص,,,,,416,,,,,23,,,,,س ح ف,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْحَقَ,,,,,,,,,,تسََحقَ,,,,,أَسَْقَ,,,,,ساحَقَ,,,,,سََقَ,,,,,سََقَ  4,,,,,سََقَ  5,,,,,سََقَ  3,,,,,ص ص ص,,,,,433,,,,,25,,,,,س ح ق,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْحَ  َل,,,,,تسَاحَ  َل,,,,,,,,,,أَسَْل َ,,,,,ساحَل َ,,,,,,,,,,,,,,,,,,,,سََلَ   23,,,,,ص ص ص,,,,,182,,,,,29,,,,,س ح ل,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََحم َ,,,,,أَسَْم َ,,,,,,,,,,سََم َ,,,,,سََمَ  4,,,,,,,,,,,,,,,ص ص ص,,,,,349,,,,,32,,,,,س ح م,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََحن َ,,,,,,,,,,ساحَن َ,,,,,,,,,,,,,,,,,,,,سََنَ  3,,,,,ص ص ص,,,,,172,,,,,35,,,,,س ح ن,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس تحَى,,,,,اِنسَْحَى,,,,,,,,,,,,,,,أَسَْى,,,,,,,,,,سََى,,,,,,,,,,,,,,,سََا   31,,,,,ص ص و,,,,,248,,,,,38,,,,,س ح و,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس تحَى,,,,,اِنسَْحَى,,,,,,,,,,,,,,,أَسَْى,,,,,,,,,,سََى,,,,,,,,,,,,,,,سََى   32,,,,,ص ص ي,,,,,248,,,,,38,,,,,س ح ي,,,,
"",,,,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََ  َل,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْ  َل,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ا لنوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سََأ َ 3,,,,,ص ص ء,,,,,267,,,,,1,,,,,س خ ء,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَاخَ  َب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,44,,,,,3,,,,,س خ ب,,,,
"",,,,,,,اِسَْات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,553,,,,,4,,,,,س خ ت,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سََ  2,,,,,ص (ص ص),,,,,269,,,,,7,,,,,س خ خ,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَُد َ,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,177,,,,,8,,,,,س خ د,,,,
"",,,,,,,,,,,,,,,,,اِسْتسَْخَر َ,,,,,,,,,,,,,,,,,,,,,,,,,تسََخ  َر,,,,,,,,,,ساخَر َ,,,,,سََر َ,,,,,سََرَ  4,,,,,,,,,,سََرَ  3,,,,,ص ص ص,,,,,521,,,,,11,,,,,س خ ر,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَاخَ  َط,,,,,تسََخ  َط,,,,,أَسَْط,,,,,,,,,,سََط َ,,,,,سََط  4,,,,,,,,,,,,,,,ص ص ص,,,,,340,,,,,19,,,,,س خ ط,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَاخَفَ,,,,,تسََخفَ,,,,,أَسَْفَ,,,,,ساخَفَ,,,,,سََفَ,,,,,,,,,,سََفَ  5,,,,,,,,,,ص ص ص,,,,,421,,,,,23,,,,,س خ ف,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسَْل َ,,,,,,,,,,سََل َ,,,,,,,,,,,,,,,سََلَ  3,,,,,ص ص ص,,,,,192,,,,,29,,,,,س خ ل,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََخم َ,,,,,,,,,,,,,,,سََم َ,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,355,,,,,32,,,,,س خ م,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََخ  َن,,,,,أَسَْن َ,,,,,,,,,,سََن َ,,,,,سََنَ  4,,,,,سََنَ  5,,,,,سََنَ  1,,,,,ص ص ص,,,,,174,,,,,35,,,,,س خ ن,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سََا  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سََى  3,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْدَ  َج1,,,,,,,,,,تسََد  َج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَدَجَ  1,,,,,ص ص ص,,,,,32,,,,,6,,,,,س د ج,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْدَ  َح,,,,,,,,,,,,,,,,,,,,سادَح َ,,,,,سَدح َ,,,,,,,,,,,,,,,سَدَحَ  3,,,,,ص ص ص,,,,,460,,,,,6,,,,,س د ح,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْدَ  َخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,269,,,,,7,,,,,س د خ,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس تد,,,,,اِنسَْد,,,,,,,,,,تسََدد َ,,,,,أَسَد,,,,,,,,,,سَدد َ,,,,,,,,,,,,,,,سَد   12,,,,,ص (ص ص),,,,,177,,,,,8,,,,,س د د,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْدَر َ,,,,,,,,,,تسََد  َر,,,,,أَسْدَر َ,,,,,,,,,,,,,,,سَدِرَ  4,,,,,,,,,,سَدَرَ  2,,,,,ص ص ص,,,,,525,,,,,11,,,,,س د ر,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسْدَسَ,,,,,,,,,,سَدسَ,,,,,,,,,,,,,,,سَدَسَ  21,,,,,ص ص ص,,,,,142,,,,,16,,,,,س د س,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَدَعَ  3,,,,,ص ص ص,,,,,182,,,,,21,,,,,س د ع,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسْدَفَ,,,,,,,,,,سَدفَ,,,,,سَدِفَ 4,,,,,,,,,,,,,,,ص ص ص,,,,,423,,,,,23,,,,,س د ف,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَدك َ,,,,,سَدِكَ  4,,,,,,,,,,,,,,,ص ص ص,,,,,196,,,,,27,,,,,س د ك,,,,
"",,,,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََل َ,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ال نوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْدَ  َل,,,,,,,,,,,,,,,أَسْدَل َ,,,,,,,,,,سَدل َ,,,,,سَدِلَ,,,,,,,,,,سَدَلَ   12,,,,,ص ص ص,,,,,194,,,,,29,,,,,س د ل,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْدَ  َم,,,,,,,,,,,,,,,,,,,,,,,,,سَدم َ,,,,,سَدِمَ  4,,,,,,,,,,سَدَمَ  1,,,,,ص ص ص,,,,,357,,,,,32,,,,,س د م,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَدَنَ   12,,,,,ص ص ص,,,,,180,,,,,35,,,,,س د ن,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِس تدََى,,,,,,,,,,,,,,,,,,,,أَسْدَى,,,,,,,,,,,,,,,سَدِيَ  4,,,,,,,,,,سَدا  1,,,,,ص ص و,,,,,257,,,,,38,,,,,س د و,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََدى,,,,,أَسْدَى,,,,,,,,,,سَدى,,,,,,,,,,,,,,,سَدَى  2,,,,,ص ص ي,,,,,257,,,,,38,,,,,س د ي,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسْ َأ,,,,,,,,,,سَ َأ,,,,,,,,,,,,,,,سَأَ  3,,,,,ص ص ء,,,,,268,,,,,1,,,,,س ر ء,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنسَْبَ,,,,,,,,,,تسََبَ,,,,,أَسْبَ,,,,,,,,,,سَبَ,,,,,سَبَ  4,,,,,,,,,,سَبَ  1,,,,,ص ص ص,,,,,46,,,,,3,,,,,س ر ب,,,,
"",,,,,,,,,,,,,,,,,اِسْتسَْج َ,,,,,,,,,,,,,,,,,,,,,,,,,تسََج َ,,,,,أَسْج َ,,,,,,,,,,سَج َ,,,,,سَجَ  4,,,,,,,,,,سَجَ  1,,,,,ص ص ص,,,,,35,,,,,6,,,,,س ر ج,,,,
"",,,,,,,,,,,,,,,,,اِسْتسَْح َ,,,,,,,,,,,,,,,اِنسَْ  َح,,,,,,,,,,تسََح َ,,,,,,,,,,,,,,,سَح َ,,,,,سَحَ  4,,,,,,,,,,سَحَ  3,,,,,ص ص ص,,,,,461,,,,,6,,,,,س ر ح,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََد َ,,,,,أَسْد َ,,,,,,,,,,سَد َ,,,,,سَدَ  4,,,,,,,,,,سَدَ  1,,,,,ص ص ص,,,,,186,,,,,8,,,,,س ر د,,,,
"",,,,,,,,,,,,,,,,,اِسْتسََ,,,,,,,,,,,,,,,اِنسَْ,,,,,تسَار,,,,,تسََر َ,,,,,أَسَ,,,,,سار,,,,,سَر َ,,,,,سَ  4,,,,,,,,,,سَ   31,,,,,ص (ص ص),,,,,5,,,,,12,,,,,س ر ر,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَسَ  4,,,,,,,,,,,,,,,ص ص ص,,,,,147,,,,,16,,,,,س ر س,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِسْتَطَ,,,,,اِنسَْطَ,,,,,,,,,,تسََطَ,,,,,,,,,,,,,,,,,,,,سَطَ  4,,,,,,,,,,سَطَ  1,,,,,ص ص ص,,,,,341,,,,,19,,,,,س ر ط,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَارَع َ,,,,,تسََع َ,,,,,أَسْع َ,,,,,سارَ َع,,,,,سَع َ,,,,,سَعَِ  4,,,,,سَعَ  5,,,,,,,,,,ص ص ص,,,,,183,,,,,21,,,,,س ر ع,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَغَِ  4,,,,,,,,,,,,,,,ص ص ص,,,,,502,,,,,22,,,,,س ر غ,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَسْفَ,,,,,,,,,,,,,,,سَفَ  4,,,,,,,,,,سَفَ  1,,,,,ص ص ص,,,,,428,,,,,23,,,,,س ر ف,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِسْتَقَ,,,,,اِنسَْقَ,,,,,,,,,,تسََقَ,,,,,,,,,,سارَقَ,,,,,سَقَ,,,,,سَقَ  4,,,,,,,,,,سَقَ  2,,,,,ص ص ص,,,,,442,,,,,25,,,,,س ر ق,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسَارَ  َك,,,,,,,,,,,,,,,,,,,,سَك َ,,,,,سَكَ  4,,,,,,,,,,,,,,,ص ص ص,,,,,196,,,,,27,,,,,س ر ك,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تسََم َ,,,,,,,,,,,,,,,سَم َ,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,362,,,,,32,,,,,س ر م,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِسْتَى,,,,,اِنسَْى,,,,,,,,,,تسََى,,,,,أَسْى,,,,,,,,,,سَى,,,,,سَيَ  4,,,,,سَوَ  5,,,,,سَا  1,,,,,ص ص ع,,,,,270,,,,,38,,,,,س ر و,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِسْتَى,,,,,,,,,,,,,,,تسََى,,,,,أَسْى,,,,,سارَى,,,,,سَى,,,,,,,,,,,,,,,سَى  2,,,,,ص ص ي,,,,,261,,,,,38,,,,,س ر ي,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شَسُفَ 5,,,,,شَسَفَ  1,,,,,ص ص ص,,,,,509,,,,,23,,,,,س ش ف,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سَطَأ َ 3,,,,,ص ص ء,,,,,269,,,,,1,,,,,س ط ء,,,,
